1,2,3,4,5,6,7,8,9,time,delta,,,
71,13,171,0,1,2,3,0,0,26.15955473,0,26.13847252,26.15955473,2328
47,4,5,4,0,2,3,0,1,73.1839589,0,73.17630264,73.1839589,2280
55,241,53,0,1,1,3,0,0,35.63579278,0,35.61741613,35.63579278,2103
67,244,121,2,1,2,3,0,0,53.77479663,0,53.76159886,53.77479663,1900
62,18,528,5,1,2,3,0,0,51.24875125,0,51.23483226,51.24875125,2359
41,28,68,0,0,1,3,0,0,51.87669473,0,51.86295503,51.87669473,2732
44,8,4,0,0,2,2,0,0,22.64877979,0,22.62669522,22.64877979,1817
46,62,14,0,0,1,3,0,0,54.65962609,0,54.64668094,54.65962609,2397
66,247,77,0,1,1,2,0,0,61.13886114,0,61.12776588,61.13886114,1142
60,41,166,2,1,1,2,1,0,56.25802769,0,56.2455389,56.25802769,1515
38,151,13,0,0,1,3,0,0,25.43171115,0,25.41042113,25.43171115,1707
61,28,21,0,1,1,3,0,0,41.10175539,0,41.08493933,41.10175539,1253
73,0,0,0,1,2,3,0,0,30.95475953,0,30.9350464,30.95475953,1147
70,70,0,0,1,2,3,0,0,55.57299843,0,55.56031406,55.57299843,2697
29,0,1,4,0,2,3,0,1,42.22919937,0,42.21270521,42.22919937,2449
35,70,30,0,0,1,3,0,0,68.43156843,0,68.42255532,68.43156843,1100
44,7,13,0,0,1,3,0,0,46.33937491,0,46.32405425,46.33937491,2407
30,1,25,0,0,1,3,0,0,52.31910946,0,52.30549607,52.31910946,2274
55,8,117,0,1,1,3,0,0,53.0326816,0,53.01927195,53.0326816,1359
51,227,875,1,0,2,3,0,1,49.02240617,0,49.00785153,49.02240617,2894
55,170,37,0,1,1,2,0,0,49.63607821,0,49.62169879,49.63607821,1147
72,4,112,8,1,1,2,1,0,24.48979592,0,24.46823697,24.48979592,1454
58,29,41,4,1,1,3,1,0,42.84287141,0,42.82655246,42.84287141,2528
44,0,0,2,0,1,3,0,1,79.27786499,0,79.27194861,79.27786499,1542
47,76,147,1,0,1,2,0,1,43.65634366,0,43.64025696,43.65634366,2046
45,10,3,1,0,1,3,0,1,27.54388469,0,27.52319772,27.54388469,1988
52,3,13,1,1,2,2,1,0,50.24975025,0,50.23554604,50.24975025,1577
47,33,0,11,0,2,3,0,1,65.30612245,0,65.29621699,65.30612245,1211
42,307,89,1,0,1,3,0,1,45.85414585,0,45.83868665,45.85414585,1560
62,2,6,14,1,1,3,1,0,64.93506494,0,64.92505353,64.93506494,2465
44,117,98,0,0,2,2,0,0,44.22720137,0,44.21127766,44.22720137,2519
67,90,42,0,1,2,3,0,0,45.54017411,0,45.52462527,45.54017411,1166
58,0,0,2,1,2,2,1,1,42.82859997,0,42.81227695,42.82859997,2796
59,4,3,4,1,2,2,1,0,41.6726131,0,41.65596003,41.6726131,1366
46,250,23,0,0,2,3,0,0,82.07506779,0,82.06995004,82.07506779,2791
43,545,31,0,0,1,3,0,0,54.11731126,0,54.10421128,54.11731126,2029
35,10,0,1,0,3,3,0,1,56.65762809,0,56.64525339,56.65762809,2237
48,0,1,0,0,2,3,0,0,30.62651634,0,30.60670949,30.62651634,1610
39,0,0,0,0,1,3,0,0,56.35792779,0,56.34546752,56.35792779,2304
56,0,416,0,1,2,3,0,0,35.65006422,0,35.63169165,35.65006422,2804
55,136,58,0,0,1,3,0,0,42.21492793,0,42.19842969,42.21492793,1363
36,2,25,0,0,2,3,0,0,70.3867561,0,70.37830121,70.3867561,1027
47,211,157,0,0,1,2,0,0,57.15712859,0,57.1448965,57.15712859,2281
59,478,19,0,1,2,2,0,0,53.0326816,0,53.01927195,53.0326816,2023
59,129,412,5,1,1,3,1,0,23.9189382,0,23.89721627,23.9189382,1401
56,109,238,1,1,1,2,1,0,25.00356786,0,24.9821556,25.00356786,1642
43,140,96,1,0,1,2,0,1,38.09048095,0,38.07280514,38.09048095,1188
42,3,2,1,0,2,3,0,0,21.77822178,0,21.75588865,21.77822178,1883
47,611,37,1,0,1,3,0,1,23.14828029,0,23.12633833,23.14828029,2145
60,24,158,0,1,1,3,0,0,68.75981162,0,68.75089222,68.75981162,1642
43,206,75,0,0,1,3,0,0,22.22063651,0,22.19842969,22.22063651,2796
38,184,23,0,0,1,3,0,0,68.43156843,0,68.42255532,68.43156843,2461
59,0,0,0,1,1,3,0,0,63.29384901,0,63.28336902,63.29384901,1602
39,110,77,1,0,2,3,0,1,48.12330527,0,48.10849393,48.12330527,2859
48,552,128,0,0,1,3,0,0,49.20793492,0,49.19343326,49.20793492,2680
66,0,99,0,1,2,3,0,0,45.42600257,0,45.41042113,45.42600257,1682
50,0,0,0,0,2,2,0,0,89.72456115,0,89.72162741,89.72456115,2405
63,53,79,1,1,1,2,1,0,30.84058798,0,30.82084226,30.84058798,1937
43,227,33,0,0,1,3,0,0,48.85114885,0,48.83654532,48.85114885,2477
61,346,10,0,1,1,3,0,0,42.25774226,0,42.24125625,42.25774226,2848
69,70,132,7,1,1,3,1,0,27.22991294,0,27.20913633,27.22991294,2686
61,0,61,0,1,1,3,0,0,25.44598259,0,25.42469665,25.44598259,1441
37,197,73,0,0,2,2,0,0,65.32039389,0,65.31049251,65.32039389,2169
50,24,48,0,0,1,2,0,0,51.27729413,0,51.2633833,51.27729413,2501
48,421,605,4,1,1,2,0,1,47.80933352,0,47.79443255,47.80933352,1471
73,430,29,0,1,1,2,0,0,46.13957471,0,46.124197,46.13957471,2200
59,275,113,0,1,1,3,0,0,53.47509633,0,53.46181299,53.47509633,2065
38,0,0,0,0,1,3,0,0,50.17839304,0,50.16416845,50.17839304,1320
81,49,1062,0,1,2,3,0,0,44.92650207,0,44.91077802,44.92650207,1975
37,0,0,0,0,2,3,0,0,76.00970458,0,76.0028551,76.00970458,2936
46,85,79,0,0,1,3,0,0,25.88839732,0,25.86723769,25.88839732,2748
47,44,46,0,0,1,3,0,0,50.56372199,0,50.54960742,50.56372199,1154
62,250,553,0,1,1,2,0,0,30.62651634,0,30.60670949,30.62651634,2093
66,8,466,1,1,1,3,1,0,32.28200371,0,32.26266952,32.28200371,2369
63,5,330,2,1,1,2,1,0,38.76123876,0,38.74375446,38.76123876,1608
48,153,329,1,0,1,2,0,1,57.41401456,0,57.40185582,57.41401456,1559
51,0,0,0,1,2,3,0,0,32.6102469,0,32.59100642,32.6102469,2982
60,26,140,1,1,2,3,0,0,51.91950906,0,51.90578158,51.91950906,1181
51,199,60,2,0,2,2,0,1,48.90823462,0,48.89364739,48.90823462,1598
44,382,118,0,0,1,3,0,0,48.72270587,0,48.70806567,48.72270587,1300
53,38,57,4,0,1,3,0,0,43.31382903,0,43.29764454,43.31382903,1470
51,90,22,1,0,2,2,0,1,16.98301698,0,16.95931478,16.98301698,1579
50,0,0,0,0,2,2,0,0,62.05223348,0,62.041399,62.05223348,2941
67,151,122,0,1,1,3,0,0,40.74496932,0,40.72805139,40.74496932,2888
68,8,120,0,1,1,3,0,0,47.13857571,0,47.12348323,47.13857571,2394
52,8,0,4,1,2,3,1,0,30.25545883,0,30.23554604,30.25545883,2563
49,0,0,0,0,2,3,0,0,49.19366348,0,49.17915774,49.19366348,1509
54,5,0,1,1,2,3,0,1,60.0256886,0,60.01427552,60.0256886,1239
76,696,2444,6,1,1,2,1,0,26.9159412,1,26.89507495,26.9159412,1191
71,314,520,0,1,2,3,0,0,21.96375054,1,21.94147038,21.96375054,1263
37,218,10,1,0,1,2,0,1,23.93320965,0,23.91149179,23.93320965,1880
77,34,423,0,1,1,3,0,0,40.31682603,0,40.29978587,40.31682603,1644
38,132,81,0,0,1,2,0,0,66.56200942,0,66.55246253,66.56200942,1876
63,830,830,0,1,1,3,0,0,21.93520765,0,21.91291934,21.93520765,2517
50,80,54,0,0,1,3,0,0,48.10903382,0,48.09421842,48.10903382,2850
46,949,22,0,0,1,3,0,0,52.7329813,0,52.71948608,52.7329813,2408
72,221,133,5,1,2,3,1,0,23.69059512,0,23.66880799,23.69059512,2258
36,604,393,0,0,1,2,0,0,55.71571286,0,55.70306924,55.71571286,1372
50,0,0,0,0,1,2,0,0,63.87897816,0,63.86866524,63.87897816,1435
65,0,225,0,1,1,2,0,0,46.83887541,0,46.82369736,46.83887541,2289
31,0,0,0,0,1,3,0,0,43.7705152,0,43.7544611,43.7705152,2265
50,28,44,0,0,1,2,0,0,46.22520337,0,46.20985011,46.22520337,2000
43,31,29,0,0,2,3,0,0,46.1681176,0,46.15274804,46.1681176,2599
64,0,14,0,1,1,2,0,0,58.3273869,0,58.31548894,58.3273869,1276
53,0,142,0,0,1,2,0,0,39.00385329,0,38.98643826,39.00385329,2191
51,58,179,0,1,1,3,0,0,58.34165834,0,58.32976445,58.34165834,1513
33,0,0,0,0,1,3,0,0,54.6310832,0,54.61812991,54.6310832,2187
80,11,380,15,1,3,2,1,0,31.15455973,0,31.13490364,31.15455973,2191
43,252,75,0,0,1,2,0,0,46.85314685,0,46.83797288,46.85314685,2095
56,39,479,0,1,1,2,0,0,55.3303839,0,55.31763026,55.3303839,1095
61,0,7,4,1,2,2,0,0,64.42129299,0,64.4111349,64.42129299,2943
50,7,5,2,1,2,3,0,1,43.02840017,0,43.01213419,43.02840017,2322
67,28,33,0,1,1,3,0,0,44.62680177,0,44.61099215,44.62680177,2645
48,0,0,0,1,2,2,0,0,5.694305694,0,5.667380443,5.694305694,1898
47,468,56,0,0,2,3,0,0,31.4114457,0,31.39186296,31.4114457,2620
52,126,76,0,0,2,2,0,0,50.83487941,0,50.82084226,50.83487941,2313
55,22,302,1,1,1,3,0,1,60.45383188,0,60.44254104,60.45383188,1866
51,35,11,3,1,1,3,1,0,21.43570715,0,21.41327623,21.43570715,2768
76,639,461,0,1,1,2,0,0,13.78621379,0,13.76159886,13.78621379,2747
46,450,31,0,0,1,2,0,0,70.07278436,0,70.06423983,70.07278436,2674
39,237,69,0,0,2,3,0,0,34.75096332,0,34.73233405,34.75096332,1693
44,633,120,2,0,2,3,0,1,38.0762095,0,38.05852962,38.0762095,2789
48,4,4,1,0,3,3,0,1,26.28799772,0,26.26695218,26.28799772,1201
69,115,99,0,1,2,3,0,0,38.00485229,0,37.98715203,38.00485229,1593
51,38,116,8,0,2,2,0,1,25.07492507,0,25.05353319,25.07492507,2636
47,475,96,0,0,1,2,0,0,61.56700442,0,61.55603141,61.56700442,1916
36,47,94,0,0,2,3,0,0,36.10675039,0,36.08850821,36.10675039,1240
55,0,0,0,0,2,2,0,0,30.92621664,0,30.90649536,30.92621664,1898
58,16,145,3,1,2,3,1,0,37.12002283,0,37.10206995,37.12002283,2756
56,559,590,0,1,1,3,0,0,46.01113173,0,45.99571734,46.01113173,2469
41,675,129,0,0,2,3,0,0,38.03339518,0,38.01570307,38.03339518,2529
56,0,24,4,1,3,3,0,0,47.86641929,0,47.85153462,47.86641929,2076
60,7,73,2,1,2,3,0,0,52.54745255,0,52.53390435,52.54745255,2295
55,20,143,0,1,1,3,0,0,42.04367062,0,42.02712348,42.04367062,2384
65,625,285,0,1,1,2,0,0,35.56443556,0,35.54603854,35.56443556,1141
68,34,443,1,1,2,2,0,0,33.79477665,1,33.77587438,33.79477665,1899
45,0,0,0,0,2,3,0,0,33.35236192,0,33.33333333,33.35236192,1353
69,3,510,0,1,1,3,0,0,53.70343942,1,53.69022127,53.70343942,1244
36,8,0,0,0,2,2,0,0,38.16183816,0,38.14418273,38.16183816,1808
50,1,7,0,0,1,3,0,0,48.16611959,0,48.15132049,48.16611959,1531
49,32,266,0,0,1,3,0,0,33.55216212,0,33.53319058,33.55216212,1515
60,8,542,0,1,1,3,0,0,51.94805195,0,51.93433262,51.94805195,2061
37,0,2,0,0,1,3,0,0,45.68288854,0,45.66738044,45.68288854,1733
61,719,719,0,1,3,2,0,0,46.42500357,0,46.40970735,46.42500357,1151
44,290,28,0,0,2,3,0,0,30.56943057,0,30.54960742,30.56943057,2267
49,13,27,9,0,3,3,0,0,53.432282,0,53.41898644,53.432282,2920
62,754,262,2,1,1,3,1,0,30.15555873,0,30.13561742,30.15555873,2508
71,5,299,8,1,3,3,1,0,25.58869702,0,25.56745182,25.58869702,2643
50,579,52,4,0,2,2,0,0,32.53888968,0,32.51962884,32.53888968,1534
58,4,30,2,1,2,3,1,0,29.42771514,0,29.40756602,29.42771514,1698
59,523,962,1,1,1,2,0,1,40.03139717,0,40.01427552,40.03139717,2683
63,485,217,0,1,1,3,0,0,53.54645355,0,53.53319058,53.54645355,2329
37,0,15,0,0,2,3,0,0,34.55116312,0,34.5324768,34.55116312,2442
29,0,0,1,0,3,3,0,1,44.34137291,0,44.3254818,44.34137291,2616
62,231,121,0,1,2,2,0,0,36.63479378,1,36.61670236,36.63479378,2343
46,324,63,1,0,2,3,0,1,45.49735978,0,45.48179872,45.49735978,1014
56,28,376,0,1,1,2,0,0,63.29384901,0,63.28336902,63.29384901,1485
61,13,0,1,1,2,2,1,0,34.16583417,0,34.14703783,34.16583417,2498
57,79,93,0,1,1,3,0,0,4.524047381,0,4.496788009,4.524047381,1661
43,278,131,1,0,2,3,0,1,35.42172114,0,35.40328337,35.42172114,2805
59,139,658,1,1,1,2,0,0,38.71842443,0,38.70092791,38.71842443,1392
44,9,8,0,0,1,3,0,0,52.51890966,0,52.50535332,52.51890966,1818
76,182,599,0,1,2,3,0,0,52.47609533,0,52.46252677,52.47609533,1541
38,810,663,1,0,1,3,0,1,47.69516198,0,47.68022841,47.69516198,2741
59,40,178,0,1,1,3,0,0,55.58726987,0,55.57458958,55.58726987,2830
49,110,200,0,0,1,2,0,0,63.23676324,0,63.22626695,63.23676324,2252
67,0,162,4,1,1,3,1,0,41.0732125,0,41.05638829,41.0732125,1359
33,0,0,0,0,2,3,0,0,65.43456543,0,65.42469665,65.43456543,2336
38,118,608,14,0,1,3,0,1,41.52989867,0,41.51320485,41.52989867,1930
45,564,44,0,0,1,2,0,0,58.58427287,0,58.57244825,58.58427287,2276
52,12,45,0,0,1,3,0,0,65.42029399,0,65.41042113,65.42029399,2861
66,17,14,0,1,1,2,0,0,46.81033252,0,46.79514632,46.81033252,2782
35,0,0,13,0,3,3,0,1,24.93221065,0,24.91077802,24.93221065,1575
62,0,84,0,1,2,3,0,0,53.77479663,0,53.76159886,53.77479663,1600
36,1506,85,1,0,1,2,0,1,38.71842443,0,38.70092791,38.71842443,1911
54,238,94,4,0,1,2,1,0,40.65934066,0,40.64239829,40.65934066,2302
54,26,47,0,0,2,2,0,0,47.35264735,0,47.33761599,47.35264735,2670
42,1,88,1,0,1,3,0,1,44.95504496,0,44.93932905,44.95504496,1084
60,637,170,16,1,2,3,1,0,27.58669902,0,27.56602427,27.58669902,1116
34,0,0,0,0,1,3,0,0,22.99129442,0,22.96930764,22.99129442,2704
56,66,29,0,1,2,2,0,0,43.8704153,0,43.85438972,43.8704153,1785
55,11,0,0,1,1,3,0,0,56.60054231,0,56.58815132,56.60054231,2684
74,25,54,0,1,2,3,0,0,52.13358071,0,52.11991435,52.13358071,1424
43,1884,57,0,0,1,2,0,0,59.24075924,0,59.22912206,59.24075924,2184
80,75,465,0,1,1,3,0,0,46.18238904,0,46.16702355,46.18238904,2246
60,0,247,0,1,2,3,0,0,33.09547595,0,33.07637402,33.09547595,1730
36,495,761,0,0,1,3,0,0,38.81832453,0,38.80085653,38.81832453,1849
46,518,253,0,0,1,2,0,0,45.75424575,0,45.73875803,45.75424575,2117
78,6,36,0,1,2,3,0,0,53.81761096,0,53.80442541,53.81761096,2258
61,661,100,0,1,1,2,0,0,38.50435279,0,38.48679515,38.50435279,1494
74,64,72,9,1,2,3,0,0,36.26373626,0,36.2455389,36.26373626,2192
43,27,12,0,0,1,3,0,0,51.66262309,0,51.64882227,51.66262309,1105
68,10,7,5,1,2,2,1,0,51.91950906,0,51.90578158,51.91950906,1077
47,514,151,0,0,1,2,0,0,51.39146568,0,51.37758744,51.39146568,1443
42,299,29,1,0,1,2,0,1,30.15555873,0,30.13561742,30.15555873,2532
43,83,41,0,0,1,2,0,0,79.92007992,0,79.9143469,79.92007992,1826
54,0,18,1,1,2,3,1,1,59.99714571,0,59.98572448,59.99714571,1490
41,560,21,0,0,1,2,0,0,18.22463251,0,18.2012848,18.22463251,1921
75,372,267,6,1,2,3,1,0,25.16055373,0,25.1391863,25.16055373,1083
45,466,62,0,0,1,3,0,0,37.8764093,0,37.85867238,37.8764093,1943
49,2,226,0,0,1,3,0,0,44.12730127,0,44.11134904,44.12730127,2941
32,260,114,0,0,1,3,0,0,56.04395604,0,56.03140614,56.04395604,2907
61,167,139,0,1,1,3,0,0,52.433281,0,52.41970021,52.433281,2707
61,7,10,0,1,1,3,0,0,36.64906522,0,36.63097787,36.64906522,1235
78,71,67,1,1,3,2,0,0,34.47980591,1,34.46109921,34.47980591,2179
53,1,0,0,1,1,2,0,0,43.64207221,0,43.62598144,43.64207221,2397
42,4,0,1,0,1,3,0,1,35.84986442,0,35.83154889,35.84986442,1169
67,0,0,0,1,2,3,0,0,29.98430141,0,29.96431121,29.98430141,1806
53,420,30,0,1,1,2,0,0,41.15884116,0,41.1420414,41.15884116,2066
63,396,91,0,1,1,2,0,0,27.85785643,0,27.8372591,27.85785643,1203
47,563,82,0,0,1,2,0,0,62.20921935,0,62.19842969,62.20921935,1038
75,363,758,2,1,1,3,0,0,38.19038105,0,38.17273376,38.19038105,2480
73,0,2,4,1,2,2,0,0,59.28357357,0,59.27194861,59.28357357,2337
37,463,239,0,0,2,3,0,0,53.18966748,0,53.17630264,53.18966748,1429
43,5,0,4,0,2,3,0,1,31.14028828,0,31.12062812,31.14028828,2646
48,168,56,0,0,1,2,0,0,31.12601684,0,31.10635261,31.12601684,1779
47,30,7,0,0,1,3,0,0,57.64235764,0,57.6302641,57.64235764,1604
43,0,0,1,0,2,3,0,1,41.9723134,0,41.9557459,41.9723134,1998
59,101,557,1,1,1,3,1,0,24.86085343,0,24.83940043,24.86085343,1752
42,2118,205,0,0,1,2,0,0,67.36121022,0,67.35189151,67.36121022,2701
46,1523,13,2,0,1,2,0,1,58.17040103,0,58.15845824,58.17040103,2001
66,127,81,1,1,3,3,0,0,57.7279863,0,57.7159172,57.7279863,2095
56,339,132,3,1,2,3,0,0,41.10175539,0,41.08493933,41.10175539,2371
33,324,141,0,0,1,3,0,0,35.99257885,0,35.97430407,35.99257885,1092
72,57,195,0,1,1,2,0,0,40.34536892,0,40.3283369,40.34536892,2594
69,0,0,0,1,3,3,0,0,26.07392607,0,26.05281941,26.07392607,1980
62,0,8,0,1,1,2,0,0,71.6854574,0,71.6773733,71.6854574,2479
39,11,10,1,0,2,3,0,1,42.99985729,0,42.98358315,42.99985729,2353
37,0,0,0,0,1,3,0,0,41.84387042,0,41.82726624,41.84387042,2598
66,0,0,0,1,1,3,0,0,27.25845583,0,27.23768737,27.25845583,2770
55,9,22,2,1,3,3,1,0,25.14628229,0,25.12491078,25.14628229,2873
68,142,167,10,1,2,3,0,0,67.24703868,0,67.23768737,67.24703868,1639
52,0,0,0,1,1,3,0,0,42.94277151,0,42.92648108,42.94277151,2982
44,221,131,2,0,1,3,0,1,50.92050806,0,50.90649536,50.92050806,1077
40,22,8,0,0,1,2,0,0,62.40901955,0,62.39828694,62.40901955,2722
46,809,48,1,0,1,2,0,1,53.34665335,0,53.33333333,53.34665335,2596
42,0,6,6,1,2,3,0,0,45.31183103,0,45.29621699,45.31183103,1762
54,53,197,0,1,1,3,0,0,67.63236763,0,67.62312634,67.63236763,2073
65,346,51,0,1,2,3,0,0,62.43756244,1,62.42683797,62.43756244,2028
49,24,92,11,1,2,3,0,1,30.22691594,0,30.206995,30.22691594,1265
70,101,412,3,1,2,2,1,0,28.82831454,0,28.80799429,28.82831454,2615
52,9,9,0,1,2,3,0,0,57.3283859,0,57.31620271,57.3283859,2528
62,224,662,0,1,1,2,0,0,4.424147281,0,4.396859386,4.424147281,1123
60,11,100,0,1,1,3,0,0,53.14685315,0,53.13347609,53.14685315,2777
65,1206,981,0,1,1,2,0,0,33.89467675,0,33.875803,33.89467675,1614
66,0,3,6,1,2,2,0,0,52.7329813,0,52.71948608,52.7329813,2046
25,0,18,0,0,2,2,0,0,43.58498644,0,43.56887937,43.58498644,1278
50,368,60,0,0,1,2,0,0,32.05366063,0,32.03426124,32.05366063,1460
57,0,13,0,1,1,2,0,0,40.98758384,0,40.97073519,40.98758384,1784
64,38,289,0,1,2,3,0,0,32.8100471,0,32.79086367,32.8100471,2282
38,587,217,1,0,1,3,0,1,34.66533467,0,34.64668094,34.66533467,2470
76,25,7,6,1,3,3,0,0,44.04167261,0,44.02569593,44.04167261,2210
61,86,86,2,1,2,3,0,0,46.31083203,0,46.29550321,46.31083203,2361
66,82,11,0,1,1,3,0,0,49.30783502,0,49.29336188,49.30783502,2553
51,256,7,0,1,1,3,0,0,45.8684173,0,45.85296217,45.8684173,2266
64,26,251,0,1,1,3,0,0,43.09975739,0,43.08351178,43.09975739,1641
51,0,2,0,1,1,3,0,0,41.24446982,0,41.2276945,41.24446982,2743
60,0,398,5,1,2,3,1,0,20.79349222,0,20.77087794,20.79349222,2454
31,75,21,5,0,2,3,0,1,25.03211075,0,25.01070664,25.03211075,2884
44,33,38,3,0,1,3,0,1,34.02311974,0,34.00428266,34.02311974,1153
66,462,189,0,1,1,3,0,0,47.43827601,0,47.42326909,47.43827601,1026
42,91,49,7,0,1,3,1,1,29.94148708,0,29.92148465,29.94148708,2099
29,382,37,0,0,1,3,0,0,52.06222349,0,52.04853676,52.06222349,1857
38,0,7,0,0,1,3,0,0,30.5123448,0,30.49250535,30.5123448,1668
54,0,512,0,1,1,3,0,0,35.16483516,0,35.14632405,35.16483516,1965
70,1,326,0,1,1,2,0,0,48.65134865,0,48.63668808,48.65134865,2005
46,20,0,6,0,3,3,0,1,41.01612673,0,40.99928622,41.01612673,2778
44,190,43,0,0,3,3,0,0,46.567718,0,46.55246253,46.567718,1799
81,1220,1220,0,1,2,2,0,0,20.73640645,1,20.71377587,20.73640645,2026
64,40,218,0,1,1,3,0,0,46.22520337,0,46.20985011,46.22520337,1991
42,462,75,0,0,1,2,0,0,50.44955045,0,50.43540328,50.44955045,1984
34,394,133,0,0,1,2,0,0,30.6122449,0,30.59243398,30.6122449,1195
51,0,12,1,1,2,2,1,0,22.60596546,0,22.58386867,22.60596546,1636
61,17,11,0,1,2,3,0,0,60.425289,0,60.41399001,60.425289,1812
56,17,117,0,1,2,2,0,0,53.3323819,0,53.31905782,53.3323819,2943
37,138,97,1,0,1,3,0,1,26.48779792,0,26.46680942,26.48779792,2338
68,0,4,0,1,1,3,0,0,35.26473526,0,35.24625268,35.26473526,2724
61,236,296,0,1,1,2,0,0,52.90423862,0,52.89079229,52.90423862,1256
41,113,83,1,0,1,3,0,1,19.70886257,0,19.68593862,19.70886257,1327
51,314,102,1,0,2,2,0,0,59.3263879,0,59.31477516,59.3263879,2225
57,10,100,0,1,1,2,0,0,45.35464535,0,45.33904354,45.35464535,1469
68,483,83,0,1,1,3,0,0,65.03496503,0,65.02498216,65.03496503,1199
37,0,0,1,0,1,2,0,1,77.79363494,0,77.78729479,77.79363494,1645
44,31,1,0,0,1,3,0,0,51.47709433,0,51.46324054,51.47709433,1484
45,82,61,0,0,1,2,0,0,41.51562723,0,41.49892934,41.51562723,2836
52,51,27,0,1,1,2,0,0,45.38318824,0,45.36759458,45.38318824,1524
58,151,252,0,1,2,3,0,0,53.432282,0,53.41898644,53.432282,1637
62,390,299,2,1,1,3,0,0,50.12130726,0,50.10706638,50.12130726,2163
39,133,30,0,0,1,3,0,0,28.15755673,0,28.13704497,28.15755673,1580
48,0,0,0,0,1,3,0,0,34.53689168,0,34.51820128,34.53689168,2980
44,157,39,3,0,3,3,0,1,30.65505923,0,30.63526053,30.65505923,2364
64,212,677,0,1,1,3,0,0,35.42172114,0,35.40328337,35.42172114,1012
50,496,46,0,0,1,2,0,0,58.84115884,0,58.82940757,58.84115884,2336
42,0,0,0,0,2,3,0,0,41.51562723,0,41.49892934,41.51562723,1549
64,974,865,1,1,2,3,0,0,31.62551734,0,31.60599572,31.62551734,2850
57,148,33,1,1,1,3,0,0,52.37619523,0,52.36259814,52.37619523,2217
61,104,237,1,1,1,3,0,0,46.13957471,0,46.124197,46.13957471,2544
